forecast_start_date,ADE_7_day_km,FDE_7_day_km
2020-08-08,0.29866500442295313,0.2917548288446969
2020-08-09,0.19778090938364182,0.7046253992428648
2020-08-10,0.45433124837777583,1.713305203384977
2020-08-11,0.8711777835774784,2.611535518640864
2020-08-12,1.3219240189985422,3.304930458078938
2020-08-13,1.6964715092739138,3.5777966338930627
2020-08-14,1.9921079840896134,3.424514552778873
2020-08-15,1.4148606725069508,1.8952892354151765
2020-08-16,0.7740856507729736,1.8838019204958305
2020-08-17,1.3698526013760375,3.678262056302297
2020-08-18,2.139337363840263,4.880880309546336
2020-08-19,2.516685769028271,5.1682470168373875
2020-08-20,2.312559842030003,4.384012015823961
2020-08-21,1.347232425654387,2.3640466003538276
2020-08-22,0.43634487855793586,0.6592486808136989
2020-08-23,0.4508839595479848,1.3342409742287675
2020-08-24,0.8691971177259139,2.4152406086100915
2020-08-25,1.2921775264110418,3.235329795096511
2020-08-26,1.6240918712078076,3.70203451231572
2020-08-27,1.8124548435443004,3.7122589007362987
2020-08-28,1.7999863371608797,3.1488959485006216
2020-08-29,1.1873205190152298,1.5085825304056852
2020-08-30,0.37869992711239275,0.7518143290809972
2020-08-31,0.8599503689774899,2.5068114839948756
2020-09-01,1.535178951684801,3.6733451269210255
2020-09-02,1.9668075216357315,4.242346709570993
2020-09-03,1.9741491417785588,4.024893067297244
2020-09-04,1.5351254609700784,3.072920862194813
2020-09-05,1.0992774352048194,2.1633532722738176
2020-09-06,0.7689429331853711,1.645484927379898
2020-09-07,0.6050128866219212,1.5753610396827558
2020-09-08,0.6245759915364409,1.7364022627549993
2020-09-09,0.7843036937899431,1.9033713936254577
2020-09-10,0.9538562735874755,1.9128741778408862
2020-09-11,1.1334028766899904,1.6995501515680445
2020-09-12,0.6668703474599801,0.3726882373256787
2020-09-13,0.5111824735846279,1.6022624336565723
2020-09-14,1.1689382560077306,3.00687458723177
2020-09-15,1.7416248216813668,3.786533812459015
2020-09-16,1.9166802373922212,3.775033284650154
2020-09-17,1.6271066374307515,2.965173696831368
2020-09-18,0.6985902269392018,1.1832700937692464
2020-09-19,1.0630021075947889,6.840588884398686
2020-09-20,2.1612156486772363,7.37011004145379
2020-09-21,3.3566217055786227,7.852220100697788
2020-09-22,4.34539469117237,7.520189105233605
2020-09-23,5.88363752217681,12.19546612920484
2020-09-24,7.332991375039609,12.040676178399417
2020-09-25,8.720970695056483,11.794643110490993
2020-09-26,31.660296426143045,53.893608378710354
2020-09-27,11.133654356676958,14.170202892785959
2020-09-28,13.157969055646381,14.170202892785959
2020-09-29,21.256475177127584,42.500463121118834
2020-09-30,28.340273256016708,49.593948985004786
2020-10-01,0.0,0.0
2020-10-02,0.4340509307046977,3.0383565149328837
2020-10-03,0.9699541560744702,3.7513225775884083
2020-10-04,1.716149099380599,5.223364603142901
2020-10-05,2.7617312324624064,7.319074931572652
2020-10-06,4.134970855426432,9.612677360748176
2020-10-07,5.8072165968423,11.70572018991108
2020-10-08,7.698347905093237,13.237919157756556
2020-10-09,14.599668950989708,25.682217501313513
2020-10-10,3.0335440595663394,3.9942748714587153
2020-10-11,2.481056291038463,7.036749777515815
2020-10-12,4.5672887237236734,12.073222249002727
2020-10-13,6.65476701712037,15.295702306094391
2020-10-14,7.693167943882577,16.060571051360206
2020-10-15,7.163251541372223,13.85127821878594
2020-10-16,4.596633483047625,8.258206945324613
2020-10-17,1.8867259865990356,2.8641203312474497
2020-10-18,0.8957153687406699,1.5975438525141983
2020-10-19,1.175759263340168,3.0122269490573896
2020-10-20,1.8927524577622177,4.2102931899990015
2020-10-21,2.2271542441191587,4.475548514445375
2020-10-22,2.0110233089774114,3.7715920790165223
2020-10-23,0.9563783942953386,1.7885672631892826
2020-10-24,0.21503515290765124,0.6406868561836877
2020-10-25,0.36029477127674053,1.460562845428
2020-10-26,0.7158703554026281,2.7463515107689065
2020-10-27,1.274740077768286,4.232042301438823
2020-10-28,2.054163318508341,5.712444978661989
2020-10-29,3.0162127575021365,7.00551914054821
2020-10-30,4.121228770413245,7.929003644587815
2020-10-31,3.543110488995317,5.787878057602153
2020-11-01,1.4708944553779268,1.6251505993729682
2020-11-02,0.9356488771582768,2.539862480027227
2020-11-03,2.0331491950631486,4.9126342229344795
2020-11-04,2.7774650727833228,5.82577148825249
2020-11-05,2.836176945441209,5.37898012096232
2020-11-06,1.746581890324437,3.0221250392376002
2020-11-07,0.5733807965928085,0.7080908417832865
2020-11-08,0.5052756535798167,1.7223705898217472
2020-11-09,1.0342308522818084,3.425206428057012
2020-11-10,1.7216758686884894,4.851435291798745
2020-11-11,2.4336339884059295,5.8731014110434545
2020-11-12,2.953855884466318,6.0655827886932805
2020-11-13,3.1866603534527096,5.281488583119304
2020-11-14,1.9838869198028033,2.145442515626021
2020-11-15,0.949060168446817,2.5943173865886613
2020-11-16,2.093478822097064,5.582711858786004
2020-11-17,3.361121361349343,7.472368038097662
2020-11-18,3.908796212292829,7.8579431109163
2020-11-19,3.407802620778491,6.468800871848409
2020-11-20,1.712728502078686,3.310837489821647
2020-11-21,0.6789639727701733,2.1087808058100808
2020-11-22,1.3404491678237105,3.917491071942656
2020-11-23,2.090041953941293,5.403301695729008
2020-11-24,2.6974132897653176,6.405520894285707
2020-11-25,3.0670206646913316,6.818235412990604
2020-11-26,3.0569949850819276,6.45572492622454
2020-11-27,2.5638922921080343,5.236229905116243
2020-11-28,1.8891858888313722,3.872604363739594
2020-11-29,1.416114405751927,3.0776364257617055
2020-11-30,1.0919305257822047,2.623452789471249
2020-12-01,0.8821771508915077,2.331325502117603
2020-12-02,0.8750543170813423,2.2453455535288294
2020-12-03,1.0848881096150118,2.2924053321688267
2020-12-04,1.4323516575850286,2.296448241607684
2020-12-05,1.0494948266562476,1.2209813209697302
2020-12-06,0.9537098169125505,3.6973909221569077
2020-12-07,2.1440881112025787,7.198998933490209
2020-12-08,3.6828096973047613,10.379630972366465
2020-12-09,5.159572054353284,12.712110026237482
2020-12-10,6.457599109328997,13.765063700618969
2020-12-11,7.472645071700247,13.166279534103229
2020-12-12,5.314966779632155,7.091747543450713
2020-12-13,1.971278647594805,3.6583675973645864
2020-12-14,3.6662311804376415,9.936262926445941
2020-12-15,6.250184354630974,13.963803929940696
2020-12-16,7.462869811960687,14.880505499527931
2020-12-17,6.582558210043411,12.152418197975303
2020-12-18,3.218397739939184,5.621065121348428
2020-12-19,1.0362923662400911,1.2862306950728482
2020-12-20,0.35378982309362816,0.7541456391015192
2020-12-21,0.8127026257878668,2.4515285885890443
2020-12-22,1.4872853222433702,3.683488057915649
2020-12-23,1.9351864200149589,4.343804192394685
2020-12-24,2.0406192669080907,4.3395062573409815
